Event/Country Name,Links
SA20,https://cricsheet.org/downloads/sat_json.zip
Super 50,https://cricsheet.org/downloads/sft_json.zip
Syed Mushtaq Ali Trophy,https://cricsheet.org/downloads/sma_json.zip
Sheffield Shield,https://cricsheet.org/downloads/ssh_json.zip
Super Smash,https://cricsheet.org/downloads/ssm_json.zip
Women's Big Bash League,https://cricsheet.org/downloads/wbb_json.zip
Women's Caribbean Premier League,https://cricsheet.org/downloads/wcl_json.zip
Women's Premier League,https://cricsheet.org/downloads/wpl_json.zip
Women's Cricket Super League,https://cricsheet.org/downloads/wsl_json.zip
Women's T20 Challenge,https://cricsheet.org/downloads/wtc_json.zip
ICC Men's Cricket World Cup,https://cricsheet.org/downloads/icc_mens_cricket_world_cup_json.zip
ICC Men's T20 World Cup,https://cricsheet.org/downloads/icc_mens_t20_world_cup_json.zip
ICC Women's Cricket World Cup,https://cricsheet.org/downloads/icc_womens_cricket_world_cup_json.zip
ICC Women's T20 World Cup,https://cricsheet.org/downloads/icc_womens_t20_world_cup_json.zip
2001,https://cricsheet.org/downloads/2001_json.zip
2002,https://cricsheet.org/downloads/2002_json.zip
2003,https://cricsheet.org/downloads/2003_json.zip
2004,https://cricsheet.org/downloads/2004_json.zip
2005,https://cricsheet.org/downloads/2005_json.zip
2006,https://cricsheet.org/downloads/2006_json.zip
2007,https://cricsheet.org/downloads/2007_json.zip
2008,https://cricsheet.org/downloads/2008_json.zip
2009,https://cricsheet.org/downloads/2009_json.zip
2010,https://cricsheet.org/downloads/2010_json.zip
2011,https://cricsheet.org/downloads/2011_json.zip
2012,https://cricsheet.org/downloads/2012_json.zip
2013,https://cricsheet.org/downloads/2013_json.zip
2014,https://cricsheet.org/downloads/2014_json.zip
2015,https://cricsheet.org/downloads/2015_json.zip
2016,https://cricsheet.org/downloads/2016_json.zip
2017,https://cricsheet.org/downloads/2017_json.zip
2018,https://cricsheet.org/downloads/2018_json.zip
2019,https://cricsheet.org/downloads/2019_json.zip
2020,https://cricsheet.org/downloads/2020_json.zip
2021,https://cricsheet.org/downloads/2021_json.zip
